 ,Label,Area,Mean,X,Y
1,BT3_8.JPG,0,217,1998,1682.500
2,BT3_8.JPG,0,216,2025.500,1679.500
3,BT3_8.JPG,0,216,2048,1672.500
4,BT3_8.JPG,0,223,2069.500,1670.500
5,BT3_8.JPG,0,220,2095,1668
6,BT3_8.JPG,0,221,2124.500,1667
7,BT3_8.JPG,0,215,2152,1664
8,BT3_8.JPG,0,218,2177,1663.500
9,BT3_8.JPG,0,214,2201.500,1671
10,BT3_8.JPG,0,213,2221.500,1700.500
11,BT3_8.JPG,0,214,2206.500,1747.500
12,BT3_8.JPG,0,213,2190,1788.500
13,BT3_8.JPG,0,214,2194,1822.500
14,BT3_8.JPG,0,214,2183,1835
15,BT3_8.JPG,0,212,2134.500,1800.500
16,BT3_8.JPG,0,214,2105.500,1806.500
17,BT3_8.JPG,0,211,2050,1808
18,BT3_8.JPG,0,219,2013.500,1813.500
19,BT3_8.JPG,0,214,1979.500,1828.500
20,BT3_8.JPG,0,213,1927,1829
21,BT3_8.JPG,0,220,1909.500,1847
22,BT3_8.JPG,0,210,1682.500,1369
23,BT3_8.JPG,0,201,1717.500,1354.500
24,BT3_8.JPG,0,216,1760,1357
25,BT3_8.JPG,0,218,1808,1368
26,BT3_8.JPG,0,221,1835.500,1382.500
27,BT3_8.JPG,0,217,1855,1392.500
28,BT3_8.JPG,0,223,1882,1413
29,BT3_8.JPG,0,219,1885.500,1426.500
30,BT3_8.JPG,0,222,1884.500,1461
31,BT3_8.JPG,0,203,1881,1488
32,BT3_8.JPG,0,212,1870.500,1526
33,BT3_8.JPG,0,213,1864.500,1549
34,BT3_8.JPG,0,210,1848,1576.500
35,BT3_8.JPG,0,213,1854.500,1599
36,BT3_8.JPG,0,216,1871,1612
37,BT3_8.JPG,0,214,1881,1631.500
38,BT3_8.JPG,0,213,1874,1650
39,BT3_8.JPG,0,214,1924,1056.500
40,BT3_8.JPG,0,206,1920,1094.500
41,BT3_8.JPG,0,223,1920.500,1152.500
42,BT3_8.JPG,0,215,1921,1198
43,BT3_8.JPG,0,220,1915.500,1238.500
44,BT3_8.JPG,0,216,1893,1266.500
45,BT3_8.JPG,0,222,1997.500,1276
46,BT3_8.JPG,0,221,2047.500,1300.500
47,BT3_8.JPG,0,215,2074,1309
48,BT3_8.JPG,0,221,2124,1319.500
49,BT3_8.JPG,0,218,2159.500,1323
50,BT3_8.JPG,0,222,2186.500,1322.500
51,BT3_8.JPG,0,217,2212,1324
52,BT3_8.JPG,0,218,2056,1174
53,BT3_8.JPG,0,221,2074,1206
54,BT3_8.JPG,0,223,2090.500,1217
55,BT3_8.JPG,0,221,2124,1207
56,BT3_8.JPG,0,216,2152.500,1192
57,BT3_8.JPG,0,219,2278,1218.500
58,BT3_8.JPG,0,221,2323.500,1249
59,BT3_8.JPG,0,220,2372.500,1273.500
60,BT3_8.JPG,0,221,2395,1287.500
61,BT3_8.JPG,0,221,2460.500,1312
62,BT3_8.JPG,0,220,2535,1358
63,BT3_8.JPG,0,218,2531.500,1395
64,BT3_8.JPG,0,219,2543,1444.500
65,BT3_8.JPG,0,217,2566,1471
66,BT3_8.JPG,0,212,2597.500,1481
67,BT3_8.JPG,0,212,2620.500,1488
68,BT3_8.JPG,0,214,2657.500,1502
69,BT3_8.JPG,0,216,2659,1553.500
70,BT3_8.JPG,0,212,2686.500,1615
71,BT3_8.JPG,0,218,2721.500,1666.500
72,BT3_8.JPG,0,211,2735.500,1693
73,BT3_8.JPG,0,211,2632.500,1740
74,BT3_8.JPG,0,213,2629,1716
